supplier_id,month,scope3_emissions_tons,energy_consumption_mwh,transport_km,waste_tons
SUP-009,2024-02,265,192,50100,16.5
SUP-009,2024-03,268,195,51400,16.8
SUP-009,2024-04,260,188,49200,15.9
SUP-009,2024-05,256,184,47800,15.4
SUP-009,2024-06,252,180,46500,14.9
SUP-009,2024-07,258,186,48600,15.6
SUP-009,2024-08,262,190,49800,16.1
SUP-009,2024-09,266,193,51000,16.6
SUP-009,2024-10,275,200,53200,17.5
SUP-009,2024-11,280,206,54800,18.1
SUP-009,2024-12,285,210,56200,18.8
SUP-009,2025-01,262,190,50200,16.4
SUP-009,2025-02,256,185,48300,15.7
SUP-009,2025-03,258,187,49100,15.9
SUP-009,2025-04,251,181,47000,15.1
SUP-009,2025-05,247,177,45600,14.5
SUP-009,2025-06,243,173,44200,13.9
SUP-009,2025-07,248,179,46200,14.7
SUP-009,2025-08,253,183,47500,15.2
SUP-009,2025-09,257,186,48800,15.7
SUP-009,2025-10,264,193,51000,16.5
SUP-009,2025-11,270,199,52800,17.2
SUP-009,2025-12,275,204,54400,17.8
SUP-010,2024-01,1218,862,342800,48.5
SUP-010,2024-02,1198,845,335200,46.8
SUP-010,2024-03,1235,878,350600,50.2
SUP-010,2024-04,1212,858,340500,47.9
SUP-010,2024-05,1252,892,358400,52.1
SUP-010,2024-06,1240,880,352800,50.8
SUP-010,2024-07,1268,905,365200,53.8
SUP-010,2024-08,1255,890,358900,52.4
SUP-010,2024-09,1230,870,346700,49.6
SUP-010,2024-10,1258,896,360200,53.0
SUP-010,2024-11,1275,912,370800,55.4
SUP-010,2024-12,1292,930,378500,57.8
SUP-010,2025-01,1210,855,340200,47.8
SUP-010,2025-02,1190,838,332800,46.0
SUP-010,2025-03,1228,872,348100,49.5
SUP-010,2025-04,1205,852,338000,47.2
SUP-010,2025-05,1245,886,356000,51.4
SUP-010,2025-06,1232,874,350400,50.0
SUP-010,2025-07,1260,898,362800,53.1
SUP-010,2025-08,1248,885,356500,51.7
SUP-010,2025-09,1222,864,344300,48.9
SUP-010,2025-10,1250,890,357800,52.3
SUP-010,2025-11,1268,906,368200,54.7
SUP-010,2025-12,1285,924,376100,56.9
